title,total_views
Wikipedia:Media_copyright_questions/Archive/2020/April,1
1989-90_NFL_playoffs,9
File:X-Y_plot_of_algorithmically-generated_AI_art_by_different_science-fiction_subgenres.png,2
Directive_on_the_coordination_of_certain_rules_concerning_copyright_and_rights_related_to_copyright_applicable_to_satellite_broadcasting_and_cable_retransmission,2
U.S._Copyright_law,27
Wikipedia:Suspected_copyright_violations/2013-06-30,1
Frame_(artificial_intelligence),1797
Wikipedia:Copyright_problems/2015_February_22,1
Wikipedia:Media_copyright_questions/Archive/2007/November,7
Wikipedia:Copyright_problems/2015_February_27,1
Yves_Gabias,6
Remai_Arts_Centre,29
Wikipedia:Copyright_problems/2007_June_27/Articles,1
Trait_ascription_bias,400
Oliver_Bias,416
Wikipedia:Articles_for_deletion/National_Engineering_Robotics_Contest,1
Talk:Payroll_automation,1
Bias_in_Wikipedia,15
Wikipedia:Copyright_problems/2008_January_14/Articles,1
Category:PD-Canada_images_with_URAA-restored_copyright,4
"Talk:Copyright,_Designs_and_Patents_Act_1988",2
1970_Stanley_Cup_playoffs,112
Talk:YouTube_copyright_issues,9
OpenAIRE,133
Ted_DiBiase,39452
Category:Wikipedia_files_with_unknown_copyright_status_as_of_28_February_2023,2
Category:Universal_basic_income_in_the_United_Kingdom,6
User:Moneytrees/Copyright_blocks,40
Wikipedia:Copyright_problems/2012_October_23,1
Wikipedia:Copyright_problems/2012_October_27,1
College_Football_Playoff,14050
2010_NBA_playoffs,7099
2005_WNBA_Playoffs,18
Wikipedia:Contributor_copyright_investigations/Dr._Blofeld_44,1
Wikipedia:Contributor_copyright_investigations/Dr._Blofeld_46,3
Subject_matter_limitations_in_copyright_law_in_Canada,25
Wikipedia:Contributor_copyright_investigations/Obetpaguia,1
2000_WNBA_Playoffs,21
Talk:Leo_Biasiucci,1
Adaptive_bias,208
Tobias_Berggren,17
European_Coordinating_Committee_for_Artificial_Intelligence,5
1978–79_NFL_playoffs,2840
Copyright_protection,26
2011-2012_NFL_playoffs,1
Wikipedia:WikiProject_Spam/LinkReports/opchatgptai.com,3
Tobias_Pereira_Figueiredo,2
en:Stable_Diffusion,1
File:View_of_the_Louvre_Palace_from_the_Pont_Neuf_–_17th-century_French_School_–_Biasini_1989_p12.jpg,1
Tobias_Church,133
Automation_in_the_New_York_City_Subway,19
Redwood_Robotics,222
Template:2017_Division_I_FCS_playoff_navbox,1
Copyright_Alliance,213
Pessimism_bias,75
Tobias_Norris,60
File:Eben_Moglen_-_From_the_birth_of_printing_to_industrial_culture;_the_root_of_copyright.ogv,1
Template:4TeamBracket-3way-playoff,4
Tobias_Klysner,65
File:Ted_DiBiase_and_Sycho_Sid.jpg,4
File:NotCommons-emblem-copyrighted.svg,770
Design_Automation_Standards_Committee,27
Category:2022_NCAA_Division_I_FCS_playoff_participants,3
Template:Copyright_editnotice,7
File:World_copyright_terms.svg,92
Category:21st-century_Thai_artists,1
Category:2009_in_robotics,2
File:A_simple_neural_network_with_two_input_units_and_one_output_unit.png,2
Wikipedia:Contributor_copyright_investigations/20221001_03,1
Category:Suspected_copyright_infringements_without_a_source_from_March_2023,1
Talk:United_States_Copyright_Office,5
WeRobotics,32
Category:PD-Finland50_images_with_URAA-restored_copyright,1
Template:2022_Naisten_Liiga_playoffs,7
File:SD_tours_the_Rehabilitation_and_Neuromuscular_Robotics_Lab._160331-D-LN567-118.jpg,1
Copyright_Alternative_in_Small-Claims_Enforcement_Act_of_2017,1
2015_WNBA_Playoffs,76
1978_NBA_playoffs,1379
Talk:Progress_in_artificial_intelligence,7
Talk:Belief_bias/GA1,1
Template:Uw-copyright-image-final,5
Talk:Bard_(chatbot),6
Copyright_collecting_society,4
Category:Bias,168
Category:Out_of_copyright_in_2109,2
Iran_robotics_team,9
Wikipedia:Contributor_copyright_investigations/20191012,8
American_Association_for_the_Advancement_of_Artificial_Intelligence,5
European_Neural_Network_Society,22
Wikipedia:Copyright_problems/2020_March_14,1
File:NEFFEX_-_Just_Breathing_(Copyright_Free).opus,1
Category:Robotics_in_Iran,2
Wikipedia:Suspected_copyright_violations/2014-12-02,1
Wikipedia:Suspected_copyright_violations/2014-12-03,1
"File:Cornett,_by_Tobias_Stimmer_2.jpg",1
Wikipedia:Suspected_copyright_violations/2014-12-07,1
File:Research_topics_in_Business-applied_Artificial_Intelligence.png,4
Talk:Boosting_(machine_learning),6
Kawasaki_Robotics,14
Wikipedia:Contributor_copyright_investigations/20140301,2
Tobias_Verwey,4
Tobias_Holmqvist,8
Copyright_Office_of_the_United_States,1
Copyright_claim,6
Template:2015_PBA_Governors'_Cup_Playoffs_bracket,1
Wikipedia:Media_copyright_questions/Archive/2020/July,1
Category:Copyright_term,9
File:GitHub_Copilot_logo.svg,123
Template:2004–05_NFL_playoffs,5
Bias_Boshell,336
Copyright_in_Russia,21
Wikipedia:Contributor_copyright_investigations/Tobyc75_05,1
Nikolai_Artsybushev,31
File:Tactile_hallucination.jpg,19
Template:Wikipedia_copyright/doc,16
Talk:List_of_current_National_Football_League_consecutive_playoff_appearances,1
File:Xianfeng_Bias.jpg,1
"NFL_playoffs,_2003-04",57
Wikipedia:Copyright_problems/2006_October_24/Images,1
Wikipedia:Possible_copyright_infringements,7
NPB_playoffs,1
Template:2020_MLS_Cup_Playoffs_Bracket,3
File:Verrocchio_Tobias_and_the_angel_detail_02.jpg,2
File:Mombasa_biashara_street.jpg,4
Internet_bias,5
Talk:Belief_bias,1
Quantum_artificial_intelligence,21
Hydropsyche_tobiasi,109
Electrical_bias,1
File:00-bma-automation-operator-panel-with-pushbuttons.JPG,2
Category_talk:Robotics,2
Deep_Learning_Processor,3
Category:Articles_with_suspected_copyright_violations_from_February_2023,8
File:Copyright-problem_paste.svg,3
Wikipedia:Copyright_problems/2014_October_7,1
Draft:Tobias_Schlingensiepen,43
Wikipedia:Media_copyright_questions,2507
Copyright_trolls,42
File:Deutsche_Uniformen_(Ruhl)_Tafel_21_Uniform_und_Dienstgradabzeichen_des_RLB_Reichsluftschutzbund_15_Edition_Nazi_Germany_ca_1939_Dienstanzug_Mütze_Kragenspiegel_Schulterklappen_insignia_abebooks.com_30747846655_3_No_known_copyright_Bri.jpg,1
Bastian_Steel_Bukan_Cowok_Biasa,19
Draft_talk:List_of_copyright_disputes_involving_Nintendo,2
Copyright_(band),344
Category:Moldovan_copyright_law,1
File:1984NBAPlayoffsofficiallogo.png,1
Wikipedia:Bias,16
1994_NBA_playoffs,6103
Talk:Copyright_law_of_Burundi,1
Tobias_Forsberg,303
GC_Biaschesi,40
User:Tobias_Bergemann,1
User:EggshellRobotics,1
Category:Robotics_concepts,11
Category:Wikipedia_contributor_copyright_investigations_templates,1
Talk:Universal_basic_income_in_the_United_States,3
Probabilistic_methods_in_artificial_intelligence,3
Category:Stub-Class_Mumbai_articles,2
American_copyright_law,1
File:2004StanleyCupPlayoffs.png,28
User_talk:ApprehensivelyBiased,4
Anti-fat_bias,337
2016_Spring_NA_LCS_playoffs,3
Talk:2001–02_NFL_playoffs,1
Wikipedia:Media_copyright_questions/Archive/2007/July,3
Las_aguas_bajan_turbias,21
Copyright_infringment,4
Wikipedia:Copyright_problems/2019_February_26,1
File:Hystero-Epilepsie;_Hallucinations._Surprise._Planche_XXX._Wellcome_L0074950.jpg,3
Tobias_Mullen,14
2018–19_NFL_playoffs,22589
Talk:List_of_programming_languages_for_artificial_intelligence,9
Tobias_Matthew,169
User:EranBot/Copyright/rc/29,1
Wikipedia:Contributor_copyright_investigations/Ruigeroeland_28,1
User:EranBot/Copyright/rc/24,2
User:EranBot/Copyright/rc/27,1
User_talk:Txbiassss,1
User:EranBot/Copyright/rc/20,1
User:EranBot/Copyright/rc/23,2
Miki_Biasion,820
2004_NBA_Playoffs,845
File:Rev._William_Tobias_Ringeltaube.jpg,1
Category:Images_with_unknown_copyright_status,1
Wikipedia:Copyright_problems/2007_February_11/Images,1
Factory_automation_infrastructure,155
Template:2009_PBA_Fiesta_Conference_Playoffs_bracket,1
2021–22_NFL_playoffs,38098
Category:Stub-Class_Mumbai_articles_of_Mid-importance,1
Template:Editnotices/Page/Wikipedia_talk:Requesting_copyright_permission,2
1994-95_NFL_playoffs,70
"NFL_playoffs,_2007-08",5
2008_NBA_Playoffs,515
Talk:Soft_robotics,3
Wikipedia:Copyright_problems/2008_February_4/Articles,1
Talk:Home_automation_for_the_elderly_and_disabled,1
Hybrid_neural_network,199
Wikipedia:PAIDCOPYRIGHT,21
Wikipedia:Contributor_copyright_investigations/VRT,5
Talk:Copyright_in_the_Dominican_Republic,1
File:AntiMcDonaldsLeicesterSqLondon20041016_CopyrightKaihsuTai.jpg,11
Talk:Outcome_bias,2
Healthy_worker_bias,1
Wikipedia:Contributor_copyright_investigations/Ruigeroeland_27,5
Copyright-infringing_Internet_memes,7
Max_Tobias,14
Talk:List_of_phobias/Archive_1,63
Talk:List_of_phobias/Archive_3,5
Talk:List_of_phobias/Archive_2,15
Copyright_aspects_of_downloading_and_streaming,94
2019_Stanley_Cup_Playoffs,43
_Gender_bias_on_Wikipedia,1
Double_Dribble:_The_Playoff_Edition,151
Copyright_in_Poland,2
Category:Wikipedia_files_with_unknown_copyright_status_as_of_3_February_2023,6
Josef_Dobias,1
Copyright_law_in_the_Netherlands,1
Uniformly_minimum_variance_unbiased_estimator,17
User:Rcsprinter123/Adopt/Copyright,1
2022_Buffalo_Bills-Kansas_City_Chiefs_playoff_game,31
Talk:Confirmation_bias/Archive_1,2
Thai_art,1478
Open_Neural_Network_Exchange,2275
2013_Stanley_Cup_Playoffs,45
Wikipedia:Copyright_problems/2006_December_5/Articles,1
Copyright_Royalty_Board,252
Wikipedia:ADDBIAS,1
Spotlight_bias,2
Closed_eye_hallucination,4
2017_WNBA_Playoffs,47
